Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),absolute_accel,Activity,Position
2.446193750E0,1.702650726E-2,1.266483521E0,2.785774335E-1,1.296871543E0,Walking,Hand
2.456165750E0,-4.32E-02,1.248586071E0,5.170838982E-2,1.250403122E0,Walking,Hand
2.466137750E0,-1.13E-01,1.191666643E0,-9.09E-02,1.200433038E0,Walking,Hand
2.476108750E0,-2.11E-01,1.208440551E0,-2.41E-01,1.250269783E0,Walking,Hand
2.486081542E0,-3.41E-01,1.214419036E0,-3.37E-01,1.305591085E0,Walking,Hand
2.496052542E0,-5.59E-01,1.192236454E0,-3.71E-01,1.367929594E0,Walking,Hand
2.506024542E0,-6.89E-01,1.144745369E0,-4.43E-01,1.407907325E0,Walking,Hand
2.515995542E0,-7.91E-01,1.061363196E0,-5.38E-01,1.428796606E0,Walking,Hand
2.525967542E0,-9.42E-01,9.894439057E-1,-5.88E-01,1.487258252E0,Walking,Hand
2.535939542E0,-1.03E+00,8.683869535E-1,-6.36E-01,1.486743767E0,Walking,Hand
2.545910542E0,-1.07E+00,7.110921746E-1,-6.59E-01,1.446000077E0,Walking,Hand
2.555882542E0,-1.19E+00,5.172484973E-1,-7.08E-01,1.475146732E0,Walking,Hand
2.565853542E0,-1.23E+00,3.837437001E-1,-7.53E-01,1.493085060E0,Walking,Hand
2.575825542E0,-1.38E+00,1.444197947E-1,-7.39E-01,1.573465012E0,Walking,Hand
2.585797542E0,-1.65E+00,1.341643631E-3,-7.65E-01,1.816840932E0,Walking,Hand
2.595768542E0,-1.74E+00,-7.15E-02,-1.02E+00,2.016352034E0,Walking,Hand
2.605740542E0,-1.65E+00,-1.33E-01,-1.32E+00,2.122918165E0,Walking,Hand
2.615711542E0,-1.40E+00,-2.44E-01,-1.39E+00,1.986659247E0,Walking,Hand
2.625683542E0,-1.24E+00,-3.84E-01,-1.45E+00,1.942656344E0,Walking,Hand
2.635655542E0,-1.33E+00,-5.65E-01,-1.44E+00,2.039201150E0,Walking,Hand
2.645626542E0,-1.49E+00,-6.59E-01,-1.36E+00,2.117632051E0,Walking,Hand
2.655598542E0,-1.84E+00,-7.96E-01,-1.04E+00,2.258979533E0,Walking,Hand
2.665569542E0,-2.14E+00,-8.75E-01,-7.34E-01,2.424404424E0,Walking,Hand
2.675541542E0,-2.25E+00,-7.75E-01,-4.89E-01,2.433061713E0,Walking,Hand
2.685513542E0,-2.37E+00,-8.06E-01,-3.09E-01,2.526702866E0,Walking,Hand
2.695484542E0,-2.53E+00,-8.12E-01,1.659381330E-2,2.654356085E0,Walking,Hand
2.705456542E0,-2.49E+00,-6.02E-01,3.686108136E-1,2.591154512E0,Walking,Hand
2.715427542E0,-2.22E+00,-1.91E-01,6.057042986E-1,2.307538241E0,Walking,Hand
2.725399542E0,-1.81E+00,3.823506010E-1,7.700952584E-1,2.005897720E0,Walking,Hand
